sample	total_markers	markers_hit	frac_markers_hit	mean_marker_count
T1261B_10072015_Q2_Q3	54203	54203	1.000000	1037.978009
T1261B_19072006_D1_D2	67202	67202	1.000000	6692.758713
T1261B_D1_D2_7082007	86410	86410	1.000000	25182.844532
T1262_1A_20012016_Q2_Q3	65476	65476	1.000000	2537.243204
T1262_1A_29102007_D1_D2	82494	82494	1.000000	26571.497806
T1262_1A_4082006_D1_D2	43089	43089	1.000000	639.824108
T1262_1B_29102007_D1_D2	84682	84682	1.000000	11370.801339
T1262_1B_4082006_D1_D2	56661	56661	1.000000	1775.421525
T1262_2A_4082006_D1_D2	74186	74186	1.000000	2748.978958
T1262_2B_20012016_Q2_Q3	57987	57987	1.000000	1971.968079
T1262_2B_4082006_D1_D2	81944	81944	1.000000	5461.260226
T1270A_7062007_D1_D2	87825	87825	1.000000	13437.921924
T1270A_8042015_Q2_Q3	67188	67188	1.000000	9421.530363
T1270B_7062007_D1_D2	81414	81414	1.000000	2644.881605
T1270B_8042015_Q2_Q3	64106	64106	1.000000	1963.548669
T1274A_19092015_Q2_Q3	32406	32406	1.000000	2027.209344
T1274B_13032007_D1_D2	87680	87680	1.000000	50656.579813
T1274B_19092015_Q2	61664	61664	1.000000	1809.210333
T1281A_02102014_Q2_Q3	48345	48345	1.000000	547.881146
T1281A_04022008_D1_D2	84181	84181	1.000000	9032.196232
T1281B_04022008_D1_D2	81426	81426	1.000000	2552.016223
T1284A_16032007_D1_D2	85767	85767	1.000000	19005.983945
T1284A_28062007_D1_D2	83345	83345	1.000000	13404.684228
T1284A_8072015_Q2_Q3	61148	61148	1.000000	2634.938232
T1284B_16032007_D1_D2	84803	84803	1.000000	14570.137483
T1284B_28062007_D1_D2	82768	82768	1.000000	14400.336954
T1284B_8072015_Q2_Q3	58365	58365	1.000000	1222.263206
T1287A_13062008_D1_D2	88432	88432	1.000000	36545.415246
T1287A_13092006_D1_D2	72283	72283	1.000000	8459.006336
T1287A_29062015_Q2_Q3	62535	62535	1.000000	3422.376861
T1287B_13062008_D1_D2	86747	86747	1.000000	12882.473607
T1287B_13092006_D1_D2	71797	71797	1.000000	3401.679165
T1287B_29062015_Q2_Q3	75008	75008	1.000000	22894.954312
T1288A_11032008_D1_D2	87227	87227	1.000000	37822.041077
T1288A_13092006_D1_D2	73372	73372	1.000000	19118.457600
T1288A_29062015_Q2_Q3	81910	81910	1.000000	6570.630729
T1288B_11032008_D1_D2	87722	87722	1.000000	32408.106313
T1288B_13092006_D1_D2	71770	71770	1.000000	22860.122433
T1288B_29062015_Q2_Q3	61181	61181	1.000000	13491.428712
T1291A_14042014_Q2_Q3	71584	71584	1.000000	9676.781921
T1291A_16032008_D1_D2	86651	86651	1.000000	14616.789247
T1291A_26082006_D1_D2	59952	59952	1.000000	8206.747315
T1291B_14042014_Q2_Q3	76078	76078	1.000000	3353.613686
T1291B_16032008_D1_D2	87391	87391	1.000000	13233.235390
T1291B_26082006_D1_D2	61978	61978	1.000000	5696.900077
T1293A_5032008_D1_D2	84945	84945	1.000000	6802.735488
T1293B_21012016_Q2_Q3	71622	71622	1.000000	1740.404959
T1293B_5032008_D1_D2	82372	82372	1.000000	2543.869992
T1293B_9102006_D1_D2	69974	69974	1.000000	5158.015634
T1294A_18092006_D1_D2	79848	79848	1.000000	11402.963305
T1294A_26112007_D1_D2	85410	85410	1.000000	13183.166034
T1294A_6072015_Q2_Q3	58480	58480	1.000000	1104.260345
T1294B_18092006_D1_D2	71730	71730	1.000000	5992.618876
T1294B_26112007_D1_D2	84605	84605	1.000000	16348.686922
T1294B_6072015_Q2_Q3	68105	68105	1.000000	2488.139079
T1296A_02102014_Q2_Q3	49131	49131	1.000000	891.584560
T1296A_18092006_D1_D2	78427	78427	1.000000	20881.139875
T1296A_23042008_D1_D2	80613	80613	1.000000	7495.320296
T1296B_02102014_Q2_Q3	63509	63509	1.000000	1374.851659
T1296B_18092006_D1	79964	79964	1.000000	22612.858361
T1296B_23042008_D1_D2	84976	84976	1.000000	16231.741833
T1297A_01102014_Q2_Q3	73370	73370	1.000000	3044.777061
T1297A_14052007_D1_D2	84431	84431	1.000000	11866.185418
T1297B_01102014_Q2_Q3	64110	64110	1.000000	1446.714538
T1297B_14052007_D1_D2	86562	86562	1.000000	28756.617315
T1305A_19092006_D1_D2	79753	79753	1.000000	34053.679862
T1305A_22042008_D1_D2	89117	89117	1.000000	26328.912475
T1305A_24042015_Q2_Q3	81772	81772	1.000000	3768.208727
T1305B_19092006_D1_D2	80038	80038	1.000000	47045.936418
T1305B_22042008_D1_D2	89433	89433	1.000000	34117.103944
T1305B_24042015_Q2_Q3	79760	79760	1.000000	2569.789493
T1306A_1072015_Q2_Q3	72968	72968	1.000000	5152.346097
T1306A_20092006_D1_D2	77950	77950	1.000000	12870.125170
T1306A_4062008_D1_D2	87023	87023	1.000000	26378.824966
T1306B_1072015_Q2_Q3	64185	64185	1.000000	1507.406123
T1306B_20092006_D1_D2	78634	78634	1.000000	17595.564552
T1306B_4062008_D1_D2	80196	80196	1.000000	7894.441593
T1310A_30042007_D1_D2	84665	84665	1.000000	6113.871765
T1310A_30092014_Q2_Q3	58697	58697	1.000000	1184.724926
T1310B_30042007_D1_D2	81774	81774	1.000000	3451.815553
T1310B_30092014_Q2_Q3	60175	60175	1.000000	1151.801745
T1314A_22052015_Q2_Q3	80463	80463	1.000000	8668.087518
T1314A_27102006_D1_D2	74760	74760	1.000000	3411.194329
T1314B_22052015_Q2_Q3	75035	75035	1.000000	2727.984794
T1314B_27102006_D1_D2	75462	75462	1.000000	2686.377395
T1317A_15012007_D1_D2	85334	85334	1.000000	35091.097171
T1317A_15042014_Q2_Q3	64511	64511	1.000000	6972.072065
T1317B_15012007_D1_D2	82197	82197	1.000000	19118.305948
T1317B_15042014_Q2_Q3	77362	77362	1.000000	13356.414364
T1319A_03102014_Q2_Q3	75157	75157	1.000000	1818.309871
T1319A_27102006_D1	80587	80587	1.000000	20951.786020
T1319B_03102014_Q2_Q3	76888	76888	1.000000	2585.234887
T1319B_27102006_D1_D2	75624	75624	1.000000	13371.176095
